id	name	country	short_url	submit actions				
2	Stanford University	us 	http://tinyurl.com/zvnc9wx	tag==button&&xpath==//*[@id="actForm"]/fieldset/div[12]/button;<button class="btn btn-custom" type="submit">Create Account</button>
4	"University of California, Berkeley"	us 	http://tinyurl.com/zmpyq4t	tag==button&&id==submit;<button type="submit" id="submit" name="submit" value="submit">Create New Account</button>
5	Cornell University	us 	http://tinyurl.com/hejyvya	tag==button&&xpath==//*[@id="actForm"]/fieldset/div[12]/button;<button class="btn btn-custom" type="submit">Create Account</button>
8	University of Michigan	us 	http://tinyurl.com/jalms7z	tag==button&&xpath==//*[@id="actForm"]/fieldset/div[12]/button;<button class="btn btn-custom" type="submit">Create Account</button>
14	University of Pennsylvania	us 	https://tinyurl.com/zxqfo9y	tag==button&&xpath==//*[@id="actForm"]/fieldset/div[12]/button;<button class="btn btn-custom" type="submit">Create Account</button>
17	New York University	us 	https://tinyurl.com/z7lzjqg	tag==a&&id==NYU_AWS_DERIVED_CONTINUE_PB;<a name="NYU_AWS_DERIVED_CONTINUE_PB" id="NYU_AWS_DERIVED_CONTINUE_PB" ptlinktgt="pt_peoplecode" tabindex="28" href="javascript:submitAction_win0(document.win0,'NYU_AWS_DERIVED_CONTINUE_PB');" class="NYU_AAWS_BUTTON">Continue</a>
18	Princeton University	us 	https://tinyurl.com/hbt5hnn	tag==button&&xpath==//*[@id="actForm"]/fieldset/div[12]/button;<button class="btn btn-custom" type="submit">Create Account</button>
24	"University of California, San Diego"	us 	https://tinyurl.com/j53snwf	tag==input&&name==commit;<input type="submit" name="commit" value="Sign up" class="btn btn-primary">
27	University of Maryland	us 	https://tinyurl.com/hpsfq59	tag==input&&id==btnSetIPData;<input type="submit" name="btnSetIPData" value="Submit Information" id="btnSetIPData" function="IPSetStudentData" validation="on">
32	"Rutgers, The State University of New Jersey"	us 	https://tinyurl.com/2zk58s	tag==input&&id==createBtn;<input type="submit" name="createBtn" id="createBtn" tabindex="13" class="inputBtn" value="create account">
38	"University of California, Irvine"	us 	https://tinyurl.com/hutg5fd	tag==input&&xpath==//*[@id="newuser"]/table/tbody/tr[16]/td[2]/input;<input type="submit" value="Start Application" style="padding: 3px 16px 3px 16px;">
39	University of Arizona	us 	https://tinyurl.com/hvbh6du	tag==input&&xpath==//*[@id="UserNewAccountForm"]/div[6]/input;<input type="submit" value="Create account">
51	Georgia Institute of Technology	us 	https://tinyurl.com/hf9ouxu	tag==button&&xpath==//*[@id="actForm"]/fieldset/div[12]/button;<button class="btn btn-custom" type="submit">Create Account</button>
57	California Institute of Technology	us 	https://tinyurl.com/zznjb8s	tag==button&&xpath==//*[@id="actForm"]/fieldset/div[12]/button;<button class="btn btn-custom" type="submit">Create Account</button>
59	University of Iowa	us 	https://tinyurl.com/jl4uqvq	tag==input&&name==action;<input type="submit" name="action" value="Create My Account">
65	Oregon State University	us 	https://tinyurl.com/jrzuvvy	tag==input&&id==j_id0:OSUThemeGradAppTemplate:theForm:submit;<input id="j_id0:OSUThemeGradAppTemplate:theForm:submit" type="submit" name="j_id0:OSUThemeGradAppTemplate:theForm:submit" value="Submit" class="pull-right btn btn-primary">
66	University of Georgia	us 	https://tinyurl.com/zbzlejo	tag==button&&xpath==//*[@id="actForm"]/fieldset/div[12]/button;<button class="btn btn-custom" type="submit">Create Account</button>
67	Colorado State University	us 	https://tinyurl.com/gw5dxut	tag==input&&id==ctl00_content_btnCreate;<input type="submit" name="ctl00$content$btnCreate" value="Create Application" onclick="javascript:WebForm_DoPostBackWithOptions(new WebForm_PostBackOptions(&quot;ctl00$content$btnCreate&quot;, &quot;&quot;, true, &quot;&quot;, &quot;&quot;, false, false))" id="ctl00_content_btnCreate" title="Create your account">
68	Brown University	us 	https://tinyurl.com/htchnha	tag==button&&xpath==//*[@id="actForm"]/fieldset/div[12]/button;<button class="btn btn-custom" type="submit">Create Account</button>
69	University of South Florida	us 	https://tinyurl.com/j8mfs54	tag==a&&xpath==//*[@id="FormDefault"]/table/tbody/tr/td[2]/table[1]/tbody/tr[2]/td/table/tbody/tr/td/table[6]/tbody/tr/td[1]/table[26]/tbody/tr/td/table/tbody/tr/td[2]/a;"
